RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-04-30,2022-06-30,2023-03-31
395161,188,"Topeka, KS",Msa,KS,2022-03-31,0.9,3.9,11.8
394813,189,"Macon-Bibb County, GA",Msa,GA,2022-03-31,2.0,5.4,14.9
394454,190,"Champaign-Urbana, IL",Msa,IL,2022-03-31,1.0,3.6,9.1
395171,191,"Tuscaloosa, AL",Msa,AL,2022-03-31,1.2,3.9,11.2
394483,192,"College Station, TX",Msa,TX,2022-03-31,1.8,5.0,11.3
395103,193,"Sioux Falls, SD",Msa,SD,2022-03-31,1.5,4.6,12.3
394455,194,"Charleston, WV",Msa,WV,2022-03-31,0.5,1.0,3.7
394334,195,"Appleton, WI",Msa,WI,2022-03-31,1.5,4.9,13.5
394464,196,"Chico, CA",Msa,CA,2022-03-31,1.5,4.5,13.9
394459,197,"Charlottesville, VA",Msa,VA,2022-03-31,1.1,4.1,10.8
394468,198,"Claremont, NH",Msa,NH,2022-03-31,1.5,5.3,15.2
394361,199,"Barnstable Town, MA",Msa,MA,2022-03-31,1.9,6.8,17.5
394803,200,"Longview, TX",Msa,TX,2022-03-31,1.7,4.7,10.3
394429,201,"Burlington, VT",Msa,VT,2022-03-31,1.7,5.2,13.0
395002,202,"Prescott, AZ",Msa,AZ,2022-03-31,2.1,7.1,20.0
395114,203,"Springfield, IL",Msa,IL,2022-03-31,,1.2,5.0
395174,204,"Tyler, TX",Msa,TX,2022-03-31,1.7,5.1,13.2
394773,205,"Las Cruces, NM",Msa,NM,2022-03-31,1.6,5.3,13.3
394585,206,"Fargo, ND",Msa,ND,2022-03-31,1.0,3.5,8.1
394691,207,"Houma, LA",Msa,LA,2022-03-31,0.7,3.3,8.2
395030,208,"Rochester, MN",Msa,MN,2022-03-31,1.1,4.1,12.0
394597,209,"Florence, SC",Msa,SC,2022-03-31,1.3,4.4,11.5
394848,210,"Medford, OR",Msa,OR,2022-03-31,1.3,4.5,12.8
753895,211,"Lafayette-West Lafayette, IN",Msa,IN,2022-03-31,1.5,4.8,14.1
394378,212,"Bellingham, WA",Msa,WA,2022-03-31,1.5,5.1,17.2
394765,213,"Lake Havasu City, AZ",Msa,AZ,2022-03-31,1.7,6.7,21.2
395047,214,"Saginaw, MI",Msa,MI,2022-03-31,1.5,5.0,14.9
394763,215,"Lake Charles, LA",Msa,LA,2022-03-31,2.0,4.7,8.9
394726,216,"Johnson City, TN",Msa,TN,2022-03-31,,2.2,12.7
394565,217,"Elkhart, IN",Msa,IN,2022-03-31,2.1,6.1,16.2
395247,218,"Yuma, AZ",Msa,AZ,2022-03-31,1.8,6.6,19.2
395011,219,"Racine, WI",Msa,WI,2022-03-31,0.5,3.3,11.9
394346,220,"Athens, GA",Msa,GA,2022-03-31,1.7,5.3,17.1
395162,221,"Torrington, CT",Msa,CT,2022-03-31,1.9,5.9,14.4
395118,222,"St. Cloud, MN",Msa,MN,2022-03-31,2.0,6.5,16.9
394681,223,"Hilton Head Island, SC",Msa,SC,2022-03-31,2.6,8.5,20.5
753869,224,"Bloomington, IL",Msa,IL,2022-03-31,2.4,6.5,12.2
394680,225,"Hilo, HI",Msa,HI,2022-03-31,2.8,8.6,20.2
394960,226,"Panama City, FL",Msa,FL,2022-03-31,2.4,7.5,19.4
394748,227,"Kingston, NY",Msa,NY,2022-03-31,1.2,4.9,16.7
394519,228,"Daphne, AL",Msa,AL,2022-03-31,1.7,5.7,18.0
394623,229,"Gainesville, GA",Msa,GA,2022-03-31,1.8,6.8,20.7
395202,230,"Warner Robins, GA",Msa,GA,2022-03-31,1.9,5.5,13.5
394392,231,"Blacksburg, VA",Msa,VA,2022-03-31,0.8,3.5,10.3
394716,232,"Jacksonville, NC",Msa,NC,2022-03-31,1.7,5.0,13.7
395018,233,"Redding, CA",Msa,CA,2022-03-31,1.5,5.6,15.7
394872,234,"Monroe, LA",Msa,LA,2022-03-31,1.0,3.4,8.6
394729,235,"Joplin, MO",Msa,MO,2022-03-31,2.3,7.4,18.0
394559,236,"El Centro, CA",Msa,CA,2022-03-31,1.7,5.4,16.8
395151,237,"Terre Haute, IN",Msa,IN,2022-03-31,1.2,4.1,10.9
394896,238,"Muskegon, MI",Msa,MI,2022-03-31,1.0,4.1,15.3
394553,239,"East Stroudsburg, PA",Msa,PA,2022-03-31,1.6,5.3,17.9
395102,240,"Sioux City, IA",Msa,IA,2022-03-31,0.7,3.2,7.9
394651,241,"Greenville, NC",Msa,NC,2022-03-31,1.6,4.6,13.1
395210,242,"Waterloo, IA",Msa,IA,2022-03-31,1.0,3.5,8.8
394944,243,"Oshkosh, WI",Msa,WI,2022-03-31,1.6,5.1,13.7
395246,244,"Yuba City, CA",Msa,CA,2022-03-31,1.1,4.5,15.7
394299,245,"Abilene, TX",Msa,TX,2022-03-31,1.5,4.6,11.9
394485,246,"Columbia, MO",Msa,MO,2022-03-31,2.2,5.5,12.3
394539,247,"Dover, DE",Msa,DE,2022-03-31,1.4,4.7,12.9
394555,248,"Eau Claire, WI",Msa,WI,2022-03-31,1.9,5.4,14.7
394720,249,"Janesville, WI",Msa,WI,2022-03-31,0.4,3.3,12.4
394710,250,"Jackson, MI",Msa,MI,2022-03-31,1.0,3.9,12.6
395009,251,"Punta Gorda, FL",Msa,FL,2022-03-31,4.5,13.0,29.3
394393,252,"Bloomington, IN",Msa,IN,2022-03-31,1.5,4.4,13.5
395007,253,"Pueblo, CO",Msa,CO,2022-03-31,1.8,6.2,19.6
394386,254,"Billings, MT",Msa,MT,2022-03-31,1.6,5.0,12.6
394406,255,"Bowling Green, KY",Msa,KY,2022-03-31,0.6,4.0,11.9
394380,256,"Bend, OR",Msa,OR,2022-03-31,1.9,6.8,18.4
394306,257,"Albany, GA",Msa,GA,2022-03-31,1.4,4.0,10.9
395193,258,"Vineland, NJ",Msa,NJ,2022-03-31,1.6,6.2,16.4
394917,259,"Niles, MI",Msa,MI,2022-03-31,2.1,6.0,15.4
394731,260,"Kahului, HI",Msa,HI,2022-03-31,3.0,8.7,20.1
394946,261,"Ottawa, IL",Msa,IL,2022-03-31,1.2,4.0,11.1
395125,262,"State College, PA",Msa,PA,2022-03-31,1.1,4.0,10.0
394359,263,"Bangor, ME",Msa,ME,2022-03-31,1.4,4.7,15.0
394314,264,"Alexandria, LA",Msa,LA,2022-03-31,1.3,3.8,8.2
394523,265,"Decatur, AL",Msa,AL,2022-03-31,1.5,4.9,13.8
394662,266,"Hanford, CA",Msa,CA,2022-03-31,1.8,5.6,15.6
394707,267,"Iowa City, IA",Msa,IA,2022-03-31,0.8,3.3,8.8
395036,268,"Rocky Mount, NC",Msa,NC,2022-03-31,1.8,5.4,15.2
394873,269,"Monroe, MI",Msa,MI,2022-03-31,1.0,3.6,10.8
395223,270,"Wichita Falls, TX",Msa,TX,2022-03-31,1.6,5.4,14.0
394428,271,"Burlington, NC",Msa,NC,2022-03-31,2.9,8.6,21.5
394814,272,"Madera, CA",Msa,CA,2022-03-31,1.4,5.3,17.3
394723,273,"Jefferson City, MO",Msa,MO,2022-03-31,1.2,4.0,11.6
394453,274,"Chambersburg, PA",Msa,PA,2022-03-31,1.4,5.1,12.7
395152,275,"Texarkana, TX",Msa,TX,2022-03-31,1.4,4.5,12.6
394563,276,"Elizabethtown, KY",Msa,KY,2022-03-31,1.4,5.0,13.0
395000,277,"Pottsville, PA",Msa,PA,2022-03-31,1.6,5.6,15.9
395221,278,"Wheeling, OH",Msa,OH,2022-03-31,0.9,3.8,11.6
394598,279,"Florence, AL",Msa,AL,2022-03-31,1.7,5.9,16.6
394639,280,"Grand Junction, CO",Msa,CO,2022-03-31,1.7,6.2,17.3
394493,281,"Concord, NH",Msa,NH,2022-03-31,1.6,5.2,14.9
394537,282,"Dothan, AL",Msa,AL,2022-03-31,1.6,4.7,11.2
395066,283,"Santa Fe, NM",Msa,NM,2022-03-31,2.1,5.6,14.4
394727,284,"Johnstown, PA",Msa,PA,2022-03-31,0.4,2.5,8.5
395163,285,"Traverse City, MI",Msa,MI,2022-03-31,1.5,6.0,17.2
394671,286,"Hattiesburg, MS",Msa,MS,2022-03-31,1.2,3.8,9.9
394515,287,"Dalton, GA",Msa,GA,2022-03-31,3.7,12.0,26.5
394860,288,"Midland, TX",Msa,TX,2022-03-31,1.0,3.1,7.9
394685,289,"Homosassa Springs, FL",Msa,FL,2022-03-31,2.1,7.6,21.9
394351,290,"Auburn, AL",Msa,AL,2022-03-31,4.6,7.5,15.9
